"agecl","box","measurement","Code"
9,"13",98589.7185961,"BLF"
10,"13",28262.1480300987,"BLF"
1,"14",0,"BLF"
2,"14",0,"BLF"
3,"14",0,"BLF"
4,"14",0,"BLF"
5,"14",0,"BLF"
6,"14",0,"BLF"
7,"14",0,"BLF"
8,"14",0,"BLF"
9,"14",0,"BLF"
10,"14",0,"BLF"
1,"15",10677.7675845785,"BLF"
2,"15",18418.059000599,"BLF"
3,"15",63358.5970999234,"BLF"
4,"15",42286.1457374708,"BLF"
5,"15",28403.9306901792,"BLF"
6,"15",20342.5825426156,"BLF"
7,"15",11967.6749684669,"BLF"
8,"15",8216.41575312044,"BLF"
9,"15",5142.30511027644,"BLF"
10,"15",1474.11505288864,"BLF"
1,"16",0,"BLF"
2,"16",0,"BLF"
3,"16",0,"BLF"
4,"16",0,"BLF"
5,"16",0,"BLF"
6,"16",0,"BLF"
7,"16",0,"BLF"
8,"16",0,"BLF"
9,"16",0,"BLF"
10,"16",0,"BLF"
1,"17",8566.4460070102,"BLF"
2,"17",14776.2448220385,"BLF"
3,"17",50830.662574103,"BLF"
4,"17",33924.8800308952,"BLF"
5,"17",22787.6039365848,"BLF"
6,"17",16320.2311357804,"BLF"
7,"17",9601.29920741906,"BLF"
8,"17",6591.7787929669,"BLF"
9,"17",4125.51394566569,"BLF"
10,"17",1182.6373732773,"BLF"
1,"18",5376.84254049823,"BLF"
2,"18",9274.50446578863,"BLF"
3,"18",31904.5341167727,"BLF"
4,"18",21293.3972830909,"BLF"
5,"18",14302.9394152473,"BLF"
6,"18",10243.6077890198,"BLF"
7,"18",6026.38176675095,"BLF"
8,"18",4137.41668395206,"BLF"
9,"18",2589.43310520156,"BLF"
10,"18",742.297906671779,"BLF"
1,"19",0,"BLF"
2,"19",0,"BLF"
3,"19",0,"BLF"
4,"19",0,"BLF"
5,"19",0,"BLF"
6,"19",0,"BLF"
7,"19",0,"BLF"
8,"19",0,"BLF"
9,"19",0,"BLF"
10,"19",0,"BLF"
1,"20",0,"BLF"
2,"20",0,"BLF"
3,"20",0,"BLF"
4,"20",0,"BLF"
5,"20",0,"BLF"
6,"20",0,"BLF"
7,"20",0,"BLF"
8,"20",0,"BLF"
9,"20",0,"BLF"
10,"20",0,"BLF"
1,"21",0,"BLF"
2,"21",0,"BLF"
3,"21",0,"BLF"
4,"21",0,"BLF"
5,"21",0,"BLF"
6,"21",0,"BLF"
7,"21",0,"BLF"
8,"21",0,"BLF"
9,"21",0,"BLF"
